circuit,pdk,DESIGN,CLK,UTIL,TECH,LB_ADDON,HIER_SYNTH,GP_PAD,DP_PAD,DPO,CTS_CSIZE,CTS_CDIA,PIN_ADJ,UP_ADJ,TNS_End_Percent,cts__timing__setup__ws,cts__timing__setup__tns,cts__timing__drv__setup_violation_count,cts__route__wirelength__estimated,detailedroute__route__wirelength,detailedroute__route__drc_errors,detailedroute__route__vias,finish__timing__setup__ws,finish__timing__setup__tns,finish__timing__drv__setup_violation_count,finish__timing__drv__hold_violation_count,finish__power__total,finish__design__instance__utilization,finish__design__instance__count__class:timing_repair_buffer,ECP_cts,ECP_final,Fractional_Loss_cts,Fractional_Loss_final
aes,asap7,aes,5686.002,52.576,asap7,0.826,0,1,0,1,22,102,0.641,0.219,65,4204.66,0,0,57542.6,69594,0,167579,4179.73,0,0,0,0.0101722,0.612698,387,1481.3420000000006,1506.2720000000008,4.370763582636121,4.197036758547476
aes,asap7,aes,9398.659,55.885,asap7,0.915,1,1,0,0,22,113,0.679,0.121,97,7116.91,0,0,59583.4,71613,0,176745,7088.98,0,0,0,0.00621679,0.647158,387,2281.749,2309.679,6.256956906212097,5.97033741506126
aes,asap7,aes,625.035,39.978,asap7,0.466,0,1,0,1,28,85,0.43,0.521,70,105.901,0,0,62127.2,75945,0,164325,85.3644,0,0,0,0.0938012,0.469263,387,519.134,539.6705999999999,2.2184609351938227,2.179917707336978
aes,asap7,aes,9443.941,55.525,asap7,0.885,1,1,0,1,22,95,0.673,0.223,62,7173.91,0,0,56665.7,68355,0,171115,7145.22,0,0,0,0.00612266,0.641068,387,2270.031000000001,2298.7210000000005,6.182081386597678,5.903327892585562
aes,asap7,aes,2430.297,59.312,asap7,0.84,1,1,0,1,12,98,0.576,0.393,82,1545.1,0,0,57176.8,69342,0,168919,1521.62,0,0,0,0.0238007,0.6868,387,885.1970000000001,908.6770000000001,2.9848116920897385,2.894576701800615
aes,asap7,aes,952.707,57.482,asap7,0.919,1,1,0,1,28,104,0.593,0.109,64,367.275,0,0,56871.2,68878,0,168640,338.849,0,0,0,0.0608943,0.665547,387,585.432,613.858,2.285909838033048,2.2475150859271706
aes,asap7,aes,945.32,41.35,asap7,0.407,0,0,0,1,33,109,0.635,0.324,11,405.019,0,0,60287,72904,0,165413,389.694,0,0,0,0.0615635,0.484105,387,540.301,555.626,2.2373422594801977,2.174292110538225
aes,asap7,aes,2190.326,46.104,asap7,0.428,0,0,0,1,36,89,0.584,0.369,33,1406.84,0,0,58994.9,71629,0,166217,1387.48,0,0,0,0.02647,0.537344,387,783.4860000000001,802.846,2.7791242389899025,2.694825596718065
aes,asap7,aes,5845.222,39.925,asap7,0.395,0,0,0,1,23,95,0.604,0.304,36,4321.37,0,0,60921.3,73657,0,165306,4309.49,0,0,0,0.00997391,0.467051,387,1523.8519999999999,1535.732,4.5244615177711465,4.31493903476163
aes,asap7,aes,9859.484,54.212,asap7,0.911,1,1,0,0,24,95,0.679,0.112,97,7489.56,0,0,59384.6,71288,0,175593,7472.03,0,0,0,0.00592719,0.628172,387,2369.924,2387.4540000000006,6.457812179768102,6.13510532841827
aes,asap7,aes,570.569,38.854,asap7,0.13,0,1,0,1,25,87,0.58,0.398,18,53.5794,0,0,68146.1,82806,0,161300,27.1482,0,0,0,0.104126,0.457518,387,516.9896,543.4208,2.3120012114032105,2.2790191746980244
aes,asap7,aes,512.538,47.02,asap7,0.459,0,0,0,1,33,106,0.553,0.16,46,5.51104,0,0,58385.9,70544,0,166208,-18.6577,-167.365,23,0,0.113609,0.547222,388,507.02696000000003,531.1957,2.129205980099783,2.0898987944202956
aes,asap7,aes,9291.794,50.383,asap7,0.953,1,1,0,1,33,100,0.64,0.193,68,7034.98,0,0,57656.2,69468,0,170839,7015.09,0,0,0,0.00626387,0.585622,387,2256.8140000000003,2276.7039999999997,6.167696812561789,5.870218686695783
aes,asap7,aes,9204.333,55.948,asap7,0.946,1,1,0,1,25,96,0.637,0.193,49,6987.04,0,0,56588.1,68377,0,169634,6963.97,0,0,0,0.0062928,0.647158,387,2217.2930000000006,2240.3630000000003,6.058732696150278,5.776754305407148
aes,asap7,aes,639.336,49.254,asap7,0.38,1,0,0,1,32,99,0.662,0.344,34,91.6525,0,0,57854.5,69613,0,166003,53.649,0,0,0,0.0906752,0.573671,387,547.6835,585.687,2.2146215505459512,2.1960168818736263
aes,asap7,aes,689.039,46.866,asap7,0.435,1,0,0,1,26,83,0.648,0.376,96,160.627,0,0,58016.6,70333,0,168027,133.774,0,0,0,0.0841495,0.545835,387,528.412,555.265,2.172664494408652,2.139426360777696
aes,asap7,aes,6788.743,54.46,asap7,0.905,1,1,0,1,32,1,0.686,0.121,6,5038.01,0,0,57010.5,68944,0,171348,5015.39,0,0,0,0.00855712,0.630258,387,1750.7330000000002,1773.353,4.985645613682967,4.7690312809136675
aes,asap7,aes,473.694,49.398,asap7,0.439,1,0,0,0,35,95,0.626,0.328,49,-29.2988,-155.965,11,60088.5,72009,0,172550,-31.0899,-1090.27,85,0,0.12346,0.575226,453,502.9928,504.7839,2.1477320724083984,2.0519017588932806
aes,asap7,aes,9100.911,55.977,asap7,0.943,1,1,0,1,34,110,0.617,0.164,0,6882.4,0,0,56940.2,68784,0,170318,6861.47,0,0,0,0.00638284,0.648025,387,2218.5110000000004,2239.441,6.067314541786153,5.780145116519526
aes,asap7,aes,994.005,21.694,asap7,0.373,0,2,0,1,36,83,0.518,0.526,28,439.622,0,0,76215,92101,0,161764,416.159,0,0,0,0.0604674,0.257588,387,554.383,577.846,2.5306140803309654,2.477070330948421
aes,asap7,aes,460.93,40.821,asap7,0.434,0,0,0,1,10,107,0.538,0.292,35,-16.2674,-197.616,29,60303,73009,0,165540,-20.8344,-644.074,69,0,0.127356,0.479235,520,477.1974,481.7644,2.0915309642688937,2.0151152863566626
aes,asap7,aes,4786.157,68.338,asap7,0.837,0,1,0,1,34,115,0.6,0.235,39,3480.72,0,0,57516.4,69406,0,170141,3468.76,0,0,0,0.0120943,0.795075,387,1305.4370000000004,1317.397,3.9631472984520375,3.783946819732184
aes,asap7,aes,412.732,42.094,asap7,0.479,1,2,0,0,35,88,0.618,0.331,21,-33.9517,-1718.25,107,67227.1,80976,0,167453,-48.3408,-3866.31,153,0,0.14591,0.500413,687,446.68370000000004,461.07280000000003,2.1342158944543246,2.075743452048731
aes,asap7,aes,468.122,53.291,asap7,0.47,1,2,0,1,33,111,0.644,0.307,34,-21.6531,-337.163,45,60661.5,73466,0,165346,-35.4217,-1078.32,103,0,0.125566,0.623165,467,489.7751,503.5437,2.126513152931359,2.068519545581341
aes,asap7,aes,937.812,41.966,asap7,0.399,0,0,0,1,29,109,0.634,0.323,26,393.921,0,0,60084.1,72852,0,165892,382.39,0,0,0,0.0620479,0.490357,387,543.8910000000001,555.422,2.242331822110026,2.1731593245014333
aes,asap7,aes,3034.806,52.378,asap7,0.652,0,1,1,1,39,106,0.271,0.111,41,2022.11,0,0,86655.6,103153,0,206128,1937.42,0,0,0,0.0208555,0.610962,387,1012.6960000000001,1097.386,3.7623926633292544,3.7530095277780657
aes,asap7,aes,9344.295,57.435,asap7,0.895,1,2,0,1,28,116,0.652,0.189,42,7066.08,0,0,58971.6,71574,0,165714,7043.04,0,0,0,0.00623315,0.668157,387,2278.215,2301.255,6.238763748983956,5.951507390751058
aes,asap7,aes,1089.819,59.001,asap7,0.908,1,1,0,1,28,97,0.678,0.181,65,480.959,0,0,56897.5,68863,0,172540,463.398,0,0,0,0.0533248,0.685358,387,608.8599999999999,626.4209999999999,2.3405717402794672,2.2746271167108723
