circuit,pdk,DESIGN,CLK,UTIL,TECH,LB_ADDON,HIER_SYNTH,GP_PAD,DP_PAD,DPO,CTS_CSIZE,CTS_CDIA,PIN_ADJ,UP_ADJ,TNS_End_Percent,cts__timing__setup__ws,cts__timing__setup__tns,cts__timing__drv__setup_violation_count,cts__route__wirelength__estimated,detailedroute__route__wirelength,detailedroute__route__drc_errors,detailedroute__route__vias,finish__timing__setup__ws,finish__timing__setup__tns,finish__timing__drv__setup_violation_count,finish__timing__drv__hold_violation_count,finish__power__total,finish__design__instance__utilization,finish__design__instance__count__class:timing_repair_buffer,ECP_cts,ECP_final,Fractional_Loss_cts,Fractional_Loss_final
ibex,asap7,ibex,4192.211,66.08,asap7,0.703,1,1,0,0,17,85,0.508,0.331,100,1134.32,0,0,76294.8,89271,0,222733,1127.51,0,0,0,0.00346475,0.767953,273,3057.8910000000005,3064.701,3.1581672457434227,3.0261514043224893
ibex,asap7,ibex,9020.504,57.11,asap7,0.695,1,1,0,0,37,94,0.31,0.412,94,2585.39,0,0,76350.8,89961,0,224541,2580.06,0,0,0,0.00164232,0.664372,273,6435.114000000001,6440.444000000001,5.740744134551314,5.512476762552837
ibex,asap7,ibex,3290.593,36.825,asap7,0.564,0,0,0,1,13,1,0.179,0.463,91,932.918,0,0,83636.4,104114,0,232020,934.527,0,0,0,0.0209034,0.435198,276,2357.6749999999997,2356.066,2.7017716039320496,2.6342295924641537
ibex,asap7,ibex,2854.712,57.231,asap7,0.708,1,1,0,0,28,92,0.191,0.62,94,734.643,0,0,75668.2,89132,0,228336,733.749,0,0,0,0.00518337,0.664853,273,2120.069,2120.9629999999997,2.434440676917669,2.331530560798802
ibex,asap7,ibex,913.79,38.804,asap7,0.058,1,2,0,0,1,106,0.179,0.474,0,-435.159,-612738,1706,99008.6,117881,0,229558,-531.077,-742607,1724,152,0.0179081,0.463207,511,1348.949,1444.867,2.095857943129558,2.084139709062711
ibex,asap7,ibex,4459.701,20.003,asap7,0.228,0,0,0,1,13,105,0.334,0.527,81,1287.92,0,0,106061,130922,0,217354,1294.42,0,0,0,0.0160278,0.242419,280,3171.781,3165.281,3.5652885708933146,3.4613401919601414
ibex,asap7,ibex,9567.939,49.3,asap7,0.672,1,1,0,1,32,86,0.415,0.252,22,2751.36,0,0,74769,87764,0,216076,2746.29,0,0,0,0.00155566,0.575661,272,6816.579,6821.649,6.015376355049471,5.773511487472012
ibex,asap7,ibex,812.82,46.262,asap7,0.538,0,2,0,0,23,106,0.219,0.431,18,-411.001,-483809,1461,92881.9,114136,0,228990,-912.438,-923334,1775,132,0.0922042,0.560175,719,1223.821,1725.258,1.9343193816073483,2.257673366107959
ibex,asap7,ibex,7073.444,58.472,asap7,0.74,1,1,0,0,33,90,0.453,0.285,100,2003.16,0,0,75713.9,88154,0,220873,2004.24,0,0,0,0.0020906,0.68039,273,5070.284000000001,5069.204000000001,4.690448103395185,4.48927868432757
ibex,asap7,ibex,2168.43,36.866,asap7,0.551,0,2,0,0,23,106,0.224,0.455,80,578.017,0,0,92208,114414,0,225582,498.64,0,0,0,0.0321861,0.439363,277,1590.4129999999998,1669.79,2.207342647759722,2.2193294543309388
ibex,asap7,ibex,2103.892,59.487,asap7,0.703,1,1,0,0,39,99,0.601,0.602,30,512.062,0,0,79616.9,96847,0,232213,515.69,0,0,0,0.00701882,0.692603,272,1591.83,1588.2019999999998,2.073045087592706,2.0070034695028074
ibex,asap7,ibex,3215.766,25.155,asap7,0.112,1,2,3,0,15,1,0.142,0.487,43,843.556,0,0,110313,129338,0,224559,838.792,0,0,0,0.00511787,0.29986,278,2372.21,2376.974,2.9997137295896916,2.868388720768264
ibex,asap7,ibex,1309.28,49.813,asap7,0.523,0,1,1,1,36,114,0.397,0.24,76,1.17617,0,0,108076,132805,0,253021,-100.263,-14335.9,516,0,0.0536888,0.589649,337,1308.10383,1409.543,2.1621244320752706,2.1876383583067955
ibex,asap7,ibex,886.674,45.47,asap7,0.581,1,2,0,0,23,96,0.186,0.468,43,-627.889,-644347,1703,82173.5,96732,0,227294,-1081.73,-944871,1721,96,0.0172599,0.538928,675,1514.563,1968.404,2.041461302309057,2.2853608277502353
